epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11401.3,1.52088,1.79159,1.5581,0.53725,0.32544,0.34915,0.22253,1.48864,1.64872,1.51625,0.007228,0.007228,0.007228
44,11654.9,1.53241,1.79091,1.55138,0.56276,0.31065,0.35356,0.22679,1.47495,1.64434,1.51119,0.007162,0.007162,0.007162
45,11907.7,1.54792,1.75936,1.55441,0.60359,0.2778,0.32938,0.2146,1.49242,1.70838,1.51079,0.007096,0.007096,0.007096
46,12158.4,1.49388,1.70436,1.52355,0.54684,0.32742,0.34717,0.22441,1.45748,1.61618,1.49152,0.00703,0.00703,0.00703
47,12408.2,1.50448,1.73496,1.53519,0.57953,0.33333,0.35409,0.22657,1.46049,1.59339,1.48925,0.006964,0.006964,0.006964
48,12660.4,1.51384,1.72898,1.53417,0.54854,0.32473,0.34983,0.22062,1.49852,1.6362,1.5182,0.006898,0.006898,0.006898
49,12912.3,1.50168,1.70382,1.52474,0.53789,0.32347,0.34779,0.22,1.47184,1.64907,1.50018,0.006832,0.006832,0.006832
50,13164.3,1.4904,1.70173,1.52362,0.6016,0.32347,0.35264,0.22987,1.43785,1.61719,1.46669,0.006766,0.006766,0.006766
51,13417.2,1.49144,1.69101,1.5247,0.55342,0.34517,0.35516,0.22694,1.43755,1.58687,1.47044,0.0067,0.0067,0.0067
52,13668.6,1.49404,1.69614,1.52134,0.52204,0.33037,0.34212,0.22031,1.43586,1.63818,1.4837,0.006634,0.006634,0.006634
53,13919.5,1.46982,1.69321,1.5025,0.5813,0.33531,0.36144,0.23389,1.41233,1.59089,1.47464,0.006568,0.006568,0.006568
54,14171.6,1.47639,1.68202,1.52078,0.5687,0.33136,0.36515,0.23768,1.41486,1.59305,1.46466,0.006502,0.006502,0.006502
55,14424.1,1.47121,1.67649,1.5022,0.57394,0.32742,0.36016,0.23165,1.43181,1.58811,1.47968,0.006436,0.006436,0.006436
56,14675.5,1.47781,1.71249,1.49968,0.56922,0.33629,0.36285,0.2402,1.38589,1.52878,1.44258,0.00637,0.00637,0.00637
57,14930,1.44256,1.64637,1.4803,0.59554,0.33235,0.3667,0.23711,1.39641,1.56664,1.45995,0.006304,0.006304,0.006304
58,15168.5,1.43878,1.62983,1.47945,0.53628,0.33333,0.35574,0.22678,1.39718,1.60421,1.4531,0.006238,0.006238,0.006238
59,15407.1,1.45456,1.63929,1.48801,0.56609,0.3432,0.36193,0.2347,1.38347,1.53408,1.42511,0.006172,0.006172,0.006172
60,15645.1,1.42239,1.63636,1.46306,0.56209,0.34615,0.37211,0.24685,1.35199,1.5256,1.40936,0.006106,0.006106,0.006106
61,15882,1.43654,1.64298,1.465,0.58099,0.32742,0.36446,0.23781,1.36602,1.53566,1.41828,0.00604,0.00604,0.00604
62,16119.4,1.40879,1.61193,1.44933,0.53838,0.34966,0.36025,0.23713,1.36617,1.54865,1.43299,0.005974,0.005974,0.005974
63,16355,1.40609,1.60732,1.44381,0.56514,0.33629,0.37732,0.24188,1.37124,1.541,1.42878,0.005908,0.005908,0.005908
64,16589.9,1.4161,1.59296,1.45977,0.60325,0.34517,0.37988,0.24926,1.35077,1.52408,1.41228,0.005842,0.005842,0.005842
65,16825.9,1.41916,1.6022,1.44361,0.59138,0.36395,0.3844,0.25005,1.35328,1.51573,1.39889,0.005776,0.005776,0.005776
66,17062.4,1.3981,1.59772,1.43457,0.50589,0.36047,0.37173,0.24645,1.3224,1.51027,1.39321,0.00571,0.00571,0.00571
67,17299.5,1.39025,1.57124,1.4404,0.61137,0.33333,0.37921,0.24735,1.3511,1.49933,1.39808,0.005644,0.005644,0.005644
68,17534.4,1.3795,1.54103,1.4213,0.62472,0.35306,0.38562,0.25283,1.36627,1.46702,1.40837,0.005578,0.005578,0.005578
69,17771.5,1.4098,1.57226,1.43733,0.57589,0.357,0.38974,0.2514,1.33604,1.48595,1.39051,0.005512,0.005512,0.005512
70,18008.5,1.39157,1.58202,1.4231,0.58387,0.34813,0.38466,0.25258,1.32559,1.46888,1.37092,0.005446,0.005446,0.005446
71,18246.2,1.35715,1.54897,1.40821,0.59797,0.35306,0.38876,0.2554,1.33351,1.48458,1.39014,0.00538,0.00538,0.00538
72,18483.2,1.37845,1.55816,1.43127,0.64154,0.33728,0.38674,0.25763,1.30728,1.45127,1.3723,0.005314,0.005314,0.005314
73,18720.5,1.36136,1.52014,1.40527,0.56847,0.34418,0.37815,0.25069,1.3415,1.50121,1.39044,0.005248,0.005248,0.005248
74,18956.3,1.38306,1.5617,1.41156,0.63717,0.33078,0.39106,0.25873,1.33222,1.48682,1.39704,0.005182,0.005182,0.005182
75,19193.5,1.37177,1.52421,1.40855,0.54352,0.35897,0.36632,0.23747,1.33312,1.50498,1.38096,0.005116,0.005116,0.005116
76,19430.1,1.35612,1.51263,1.39193,0.6458,0.32366,0.3806,0.2547,1.32947,1.47475,1.40009,0.00505,0.00505,0.00505
77,19666.3,1.34665,1.51801,1.38804,0.55461,0.35736,0.3829,0.25678,1.30789,1.48405,1.37222,0.004984,0.004984,0.004984
78,19904,1.34275,1.50475,1.38175,0.57906,0.3432,0.37658,0.24845,1.32108,1.51677,1.37792,0.004918,0.004918,0.004918
79,20139.3,1.32963,1.4891,1.38402,0.62678,0.33786,0.38888,0.25779,1.30436,1.47346,1.36738,0.004852,0.004852,0.004852
80,20375.4,1.31909,1.48457,1.37723,0.54123,0.35503,0.38852,0.26021,1.3318,1.48603,1.38891,0.004786,0.004786,0.004786
81,20611.5,1.32564,1.47971,1.39238,0.60283,0.34876,0.39607,0.26558,1.26744,1.4392,1.33723,0.00472,0.00472,0.00472
82,20847.9,1.3195,1.47221,1.37052,0.6558,0.35108,0.40393,0.26799,1.2689,1.45444,1.33641,0.004654,0.004654,0.004654
83,21084.9,1.31434,1.4617,1.36664,0.6076,0.35427,0.40312,0.27041,1.27813,1.44511,1.34557,0.004588,0.004588,0.004588
84,21320.6,1.32969,1.52476,1.36666,0.60476,0.357,0.39986,0.27021,1.29607,1.44163,1.35265,0.004522,0.004522,0.004522
85,21555.2,1.30558,1.44514,1.36741,0.5507,0.37834,0.39015,0.26068,1.2578,1.43189,1.33843,0.004456,0.004456,0.004456
86,21792.5,1.31846,1.46577,1.36418,0.57601,0.36686,0.38728,0.25803,1.27784,1.43211,1.34759,0.00439,0.00439,0.00439
87,22027.8,1.31729,1.47896,1.35215,0.57585,0.37968,0.40181,0.26987,1.257,1.39458,1.32707,0.004324,0.004324,0.004324
88,22264,1.31489,1.46149,1.36481,0.64576,0.37034,0.40629,0.27286,1.25877,1.42685,1.33943,0.004258,0.004258,0.004258
89,22501.5,1.29597,1.44979,1.3536,0.61935,0.36391,0.40077,0.26674,1.28387,1.43238,1.34592,0.004192,0.004192,0.004192
90,22741.3,1.29869,1.45188,1.35356,0.56708,0.37673,0.40119,0.27326,1.26687,1.4039,1.34317,0.004126,0.004126,0.004126
91,22980.6,1.29736,1.42614,1.34519,0.54778,0.3856,0.39263,0.26591,1.26041,1.43615,1.32905,0.00406,0.00406,0.00406
92,23218.2,1.31695,1.45463,1.34863,0.58278,0.35996,0.39761,0.26838,1.27203,1.44568,1.33869,0.003994,0.003994,0.003994
93,23455.6,1.28314,1.41477,1.33397,0.59486,0.3787,0.40774,0.27282,1.27799,1.41185,1.33592,0.003928,0.003928,0.003928
94,23693,1.26757,1.3936,1.33517,0.51356,0.39053,0.39743,0.26716,1.24432,1.44942,1.31987,0.003862,0.003862,0.003862
95,23928.8,1.28049,1.40259,1.34581,0.63525,0.34911,0.40678,0.27541,1.24289,1.41487,1.31196,0.003796,0.003796,0.003796
96,24165.5,1.26896,1.39148,1.34126,0.53783,0.37377,0.39615,0.26671,1.25217,1.45439,1.32254,0.00373,0.00373,0.00373
97,24402.8,1.28686,1.39721,1.33574,0.59181,0.36604,0.41283,0.2816,1.27001,1.39489,1.33414,0.003664,0.003664,0.003664
98,24637.9,1.27379,1.41753,1.32536,0.60141,0.36884,0.40773,0.27611,1.26057,1.39744,1.33158,0.003598,0.003598,0.003598
99,24874.2,1.27623,1.37856,1.32729,0.60564,0.37475,0.4079,0.269,1.25092,1.40693,1.31735,0.003532,0.003532,0.003532
100,25111.9,1.2615,1.37181,1.3228,0.60033,0.36391,0.41253,0.27743,1.24028,1.40167,1.31833,0.003466,0.003466,0.003466
101,25350.3,1.26128,1.41243,1.32386,0.60579,0.36978,0.403,0.27276,1.23597,1.39764,1.3163,0.0034,0.0034,0.0034
102,25587.7,1.2463,1.36743,1.31055,0.6429,0.36193,0.41057,0.27833,1.21468,1.37915,1.28586,0.003334,0.003334,0.003334
103,25824.4,1.26898,1.35062,1.32395,0.57352,0.37475,0.4094,0.27462,1.24309,1.37234,1.31157,0.003268,0.003268,0.003268
104,26062.3,1.23784,1.34916,1.30511,0.66555,0.34813,0.40699,0.27818,1.22797,1.39524,1.30516,0.003202,0.003202,0.003202
105,26298.8,1.26189,1.34511,1.31956,0.57938,0.37475,0.41684,0.28477,1.22179,1.37865,1.29212,0.003136,0.003136,0.003136
106,26535.7,1.23687,1.36489,1.29465,0.60243,0.37278,0.4156,0.28317,1.21374,1.36045,1.28632,0.00307,0.00307,0.00307
