epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5599.57,1.05201,1.09428,1.14726,0.64879,0.43097,0.48589,0.34775,1.04471,1.19032,1.15536,0.0014588,0.0014588,0.0014588
43,5731.27,1.06494,1.08256,1.14976,0.63603,0.44576,0.49288,0.34801,1.06339,1.1892,1.15494,0.0014456,0.0014456,0.0014456
44,5863.13,1.06218,1.09936,1.14312,0.63656,0.45168,0.49652,0.35238,1.04287,1.207,1.15298,0.0014324,0.0014324,0.0014324
45,5995.59,1.06113,1.04896,1.13372,0.62176,0.45661,0.50486,0.36367,1.02426,1.14285,1.14204,0.0014192,0.0014192,0.0014192
46,6127.41,1.05958,1.076,1.14322,0.66914,0.42604,0.48774,0.35276,1.0514,1.18396,1.15314,0.001406,0.001406,0.001406
47,6259.12,1.05099,1.06098,1.13494,0.70289,0.42209,0.49947,0.35991,1.06155,1.1675,1.16454,0.0013928,0.0013928,0.0013928
48,6390.88,1.04141,1.04706,1.13184,0.69532,0.42761,0.50178,0.36126,1.04193,1.21548,1.14489,0.0013796,0.0013796,0.0013796
49,6522.7,1.04545,1.04881,1.13135,0.68364,0.4428,0.5085,0.36421,1.04494,1.12564,1.15657,0.0013664,0.0013664,0.0013664
50,6654.58,1.02993,1.04173,1.12211,0.70326,0.43984,0.50806,0.36252,1.05434,1.13057,1.1497,0.0013532,0.0013532,0.0013532
51,6786.23,1.01842,1.02983,1.12494,0.67324,0.43097,0.50059,0.35985,1.03019,1.15485,1.16291,0.00134,0.00134,0.00134
52,6918.16,1.0425,1.02977,1.13077,0.66742,0.43787,0.49907,0.35718,1.03961,1.17208,1.14557,0.0013268,0.0013268,0.0013268
53,7049.92,1.02798,1.03424,1.1191,0.65687,0.44932,0.50838,0.36542,1.02863,1.17389,1.13434,0.0013136,0.0013136,0.0013136
54,7181.87,1.00697,0.99323,1.10594,0.71028,0.43787,0.50937,0.36647,1.03225,1.13536,1.15032,0.0013004,0.0013004,0.0013004
55,7313.82,1.01224,0.99784,1.1063,0.63663,0.46997,0.50623,0.36341,1.02943,1.16412,1.14221,0.0012872,0.0012872,0.0012872
56,7445.41,1.02465,1.00848,1.11233,0.64179,0.47436,0.51736,0.36685,1.03133,1.12543,1.1561,0.001274,0.001274,0.001274
57,7577.18,1.00155,0.98992,1.11248,0.66315,0.44576,0.50976,0.36808,1.03151,1.12832,1.14726,0.0012608,0.0012608,0.0012608
58,7708.89,1.02603,0.98553,1.11639,0.62611,0.46548,0.50281,0.36179,1.05333,1.15396,1.15591,0.0012476,0.0012476,0.0012476
59,7841.03,1.00907,0.99215,1.11643,0.66955,0.45159,0.51461,0.37375,1.0039,1.1154,1.12156,0.0012344,0.0012344,0.0012344
60,7972.79,0.99872,0.96653,1.09977,0.68754,0.43617,0.508,0.36292,1.02131,1.11872,1.14598,0.0012212,0.0012212,0.0012212
61,8104.38,0.99956,0.95929,1.10062,0.66702,0.45957,0.51747,0.38164,0.99069,1.09128,1.13223,0.001208,0.001208,0.001208
62,8236.26,0.99093,0.94025,1.09724,0.69252,0.44477,0.50585,0.36614,0.99094,1.12869,1.13007,0.0011948,0.0011948,0.0011948
63,8367.66,1.01255,0.96294,1.10308,0.70372,0.4359,0.50775,0.36616,1.02389,1.14555,1.13995,0.0011816,0.0011816,0.0011816
64,8499.39,1.0066,0.95102,1.10545,0.68751,0.45069,0.5198,0.3772,0.99296,1.09057,1.12807,0.0011684,0.0011684,0.0011684
65,8631.02,0.9841,0.93422,1.08393,0.65154,0.46548,0.52011,0.38038,1.00529,1.09148,1.13477,0.0011552,0.0011552,0.0011552
66,8762.96,0.98436,0.92274,1.09057,0.68894,0.45365,0.51776,0.37557,0.98751,1.09153,1.13865,0.001142,0.001142,0.001142
67,8894.92,0.98539,0.92551,1.08844,0.63135,0.46844,0.51268,0.36911,1.0177,1.12604,1.13901,0.0011288,0.0011288,0.0011288
68,9026.53,0.96025,0.90791,1.07903,0.68012,0.45921,0.51797,0.37419,0.98104,1.10069,1.11818,0.0011156,0.0011156,0.0011156
69,9158.53,0.97516,0.92005,1.0792,0.66111,0.44181,0.5049,0.36233,1.00343,1.1255,1.12905,0.0011024,0.0011024,0.0011024
70,9290.09,0.98096,0.92727,1.0864,0.68054,0.44328,0.51068,0.36784,0.99062,1.09536,1.12136,0.0010892,0.0010892,0.0010892
71,9421.43,0.96924,0.89314,1.08126,0.71448,0.43491,0.51666,0.3749,0.99424,1.11009,1.11895,0.001076,0.001076,0.001076
72,9553.12,0.95682,0.88678,1.07738,0.68308,0.45562,0.51545,0.3715,1.00833,1.14143,1.13111,0.0010628,0.0010628,0.0010628
73,9684.07,0.97413,0.90371,1.07269,0.65369,0.47337,0.51901,0.37597,1.00163,1.10355,1.12491,0.0010496,0.0010496,0.0010496
74,9815.64,0.97053,0.90326,1.07584,0.69604,0.4359,0.50803,0.37275,0.99604,1.13549,1.11075,0.0010364,0.0010364,0.0010364
75,9947.14,0.95799,0.88302,1.07477,0.69706,0.45957,0.51875,0.37643,0.99284,1.09366,1.12352,0.0010232,0.0010232,0.0010232
76,10078.7,0.96503,0.88697,1.0771,0.74226,0.44021,0.52028,0.38183,0.99612,1.08399,1.13107,0.00101,0.00101,0.00101
77,10210.2,0.96273,0.87706,1.07527,0.69441,0.46613,0.52044,0.38384,0.9783,1.07384,1.11935,0.0009968,0.0009968,0.0009968
78,10342.1,0.96275,0.86947,1.07417,0.72038,0.46746,0.53233,0.3899,0.96457,1.05943,1.10065,0.0009836,0.0009836,0.0009836
